Unnamed: 0,index,name,price,year,brand,km_drive
0,0, NISSAN MARCH 1.2 E,219000.0,2012,NISSAN,46910
1,1, FORD FIESTA 1.6 Sport,159000.0,2010,FORD,134716
2,2, ISUZU D-MAX 3.0 Hi-Lander Z-Prestige,499000.0,2014,ISUZU,91229
3,3, TOYOTA HILUX VIGO 3.0 G Prerunner,469000.0,2012,TOYOTA,121817
4,4, NISSAN NP 300 NAVARA 2.5 S,369000.0,2017,NISSAN,61118
5,5, TOYOTA FORTUNER 3.0 TRD Sportivo III 4WD,659000.0,2011,TOYOTA,215527
6,6, HONDA CITY S,459000.0,2018,HONDA,38301
7,7, ISUZU D-MAX 3.0 Hi-Lander,378000.0,2008,ISUZU,217942
8,8, MAZDA 2 1.5 Groove,149000.0,2012,MAZDA,161000
9,9, HONDA JAZZ 1.5 S i-VTEC,228000.0,2008,HONDA,210000
10,10, NISSAN FRONTIER NAVARA LE,335000.0,2017,NISSAN,89000
11,11, NISSAN TEANA 2.5 250 XV Sports Series Navi,329000.0,2009,NISSAN,209000
12,12, ISUZU D-MAX 3.0 SLX,219000.0,2005,ISUZU,220000
13,13, HONDA ACCORD 2.0 EL i-VTEC,298000.0,2009,HONDA,155000
14,14, MAZDA 2,369000.0,2018,MAZDA,150000
15,15, TOYOTA HILUX VIGO CHAMP,388000.0,2014,TOYOTA,125000
16,16, NISSAN FRONTIER NAVARA 2.5 Calibre LE,309000.0,2013,NISSAN,105000
17,17, FORD RANGER 2.2 Hi-Rider XLT,479000.0,2021,FORD,16200
18,18, TOYOTA YARIS 1.5 J,189000.0,2009,TOYOTA,170000
19,19, MAZDA 2 1.5 XD High Connect,365000.0,2015,MAZDA,141000
20,20, ISUZU ELF 2.8 NKR,329000.0,2006,ISUZU,800000
21,21, MITSUBISHI TRITON 2.4 GLX,429000.0,2020,MITSUBISHI,45000
22,22, TOYOTA HILUX VIGO 2.5 Double Cab E Prerunner VN Turbo,359000.0,2010,TOYOTA,67000
23,23, HONDA CIVIC 1.8 S i-VTEC,399000.0,2013,HONDA,81000
24,24, ISUZU D-MAX 3.0 Hi-Lander Z Prestige Ddi VGS Turbo,419000.0,2012,ISUZU,250000
25,25, FORD RANGER 2.2 Hi-Rider XLT,447000.0,2015,FORD,103000
26,26, TOYOTA FORTUNER 2.4 V,985000.0,2017,TOYOTA,136092
27,27, TOYOTA HILUX REVO 2.4 G Prerunner,525000.0,2017,TOYOTA,52322
28,28, TOYOTA HILUX VIGO 3.0 G,265000.0,2006,TOYOTA,221517
29,29, TOYOTA HIACE 3.0 GL,655000.0,2016,TOYOTA,150735
30,30, ISUZU D-MAX 1.9 Hi-Lander L,465000.0,2017,ISUZU,60365
31,31, BMW 330E Plugin Hybrid,1390000.0,2018,BMW,68000
32,32, BMW X1 sDrive18d,1450000.0,2020,BMW,24000
33,33, MITSUBISHI TRITON 2.5 GLX,299000.0,2013,MITSUBISHI,86000
34,34, HONDA CIVIC 1.8 E i-VTEC,369000.0,2013,HONDA,190000
35,35, TOYOTA YARIS 1.2 G,335000.0,2016,TOYOTA,197262
36,36, HONDA CITY 1.5 V+ i-VTEC,445000.0,2018,HONDA,61125
37,37, HONDA CITY SV,545000.0,2021,HONDA,22385
38,38, HONDA CITY 1.5 V+ i-VTEC,465000.0,2019,HONDA,75346
39,39, PORSCHE CAYENNE 3.0 Diesel 4WD,4390000.0,2016,PORSCHE,70000
40,40, HONDA CIVIC 1.8 E Modulo,445000.0,2014,HONDA,116259
41,41, MERCEDES BENZ CLA250 AMG Dynamic,1490000.0,2018,MERCEDES,61000
42,42, HYUNDAI H-1 2.5 Deluxe,829000.0,2014,HYUNDAI,60000
43,43, BMW X3 xDrive20d,1999000.0,2018,BMW,60000
44,44, HONDA CITY 1.5 SV i-VTEC,399000.0,2014,HONDA,150000
45,45, TOYOTA ALTIS 1.8 E,278000.0,2011,TOYOTA,200000
46,46, FORD RANGER 3.2 WildTrak 4WD,488000.0,2014,FORD,200000
47,47, NISSAN CEFIRO 24v,245000.0,1993,NISSAN,180000
48,48, HONDA MOBILIO 1.5 RS,478000.0,2017,HONDA,110000
49,49, TOYOTA VIOS 1.5 ES,269000.0,2012,TOYOTA,103000
50,50, HONDA ACCORD 2.2 EXi,65000.0,1991,HONDA,180000
51,51, TOYOTA HILUX,228000.0,1981,TOYOTA,253000
52,52, MITSUBISHI LANCER,658000.0,1994,MITSUBISHI,218000
53,53, HONDA CIVIC 1.8 EL i-VTEC,655000.0,2018,HONDA,87570
54,54, HONDA ACCORD 2.0 E i-VTEC,385000.0,2012,HONDA,182722
55,55, HONDA ACCORD 2.0 EL i-VTEC,415000.0,2013,HONDA,130929
56,56, HONDA ACCORD 2.0 E i-VTEC,665000.0,2016,HONDA,114242
57,57, HONDA MOBILIO 1.5 RS,375000.0,2015,HONDA,186429
58,58, HONDA FREED 1.5 SE,485000.0,2015,HONDA,105389
59,59, NISSAN NAVARA,369000.0,2012,NISSAN,81323
60,60, TOYOTA AVANZA 1.5 E,279000.0,2013,TOYOTA,171305
61,61, KIA GRAND CARNIVAL 2.2 EX,1079000.0,2016,KIA,100000
62,62, MERCEDES BENZ CLS250 CDI Exclusive,1190000.0,2012,MERCEDES,150000
63,63, MERCEDES BENZ CLA250 AMG Dynamic,1150000.0,2015,MERCEDES,0
64,64, ISUZU D-MAX 1.9 S,495000.0,2019,ISUZU,40644
65,65, ISUZU D-MAX 1.9 S,535000.0,2021,ISUZU,22735
66,66, ISUZU D-MAX 2.5 SLX Super Titanium,375000.0,2011,ISUZU,125430
67,67, HONDA CIVIC 1.5 Hybrid,368000.0,2014,HONDA,56000
68,68, HONDA CIVIC 1.5 Turbo RS,715000.0,2017,HONDA,56000
69,69, HONDA HR-V 1.8 E,495000.0,2015,HONDA,1800
70,70, MERCEDES BENZ CLA250 AMG Dynamic,1150000.0,2015,MERCEDES,27000
71,71, HONDA HR-V 1.8 E,548000.0,2018,HONDA,152000
72,72, TOYOTA PRIUS 1.8 Hybrid,395000.0,2013,TOYOTA,103900
73,73, HONDA CIVIC 1.8 E i-VTEC,425000.0,2014,HONDA,56000
74,74, MAZDA CX-5 2.0 SP,785000.0,2018,MAZDA,59000
75,75, HONDA CR-V 2.0 E 4WD,595000.0,2015,HONDA,128000
76,76, ISUZU D-MAX 2.5 Hi-Lander X-Series Z,535000.0,2013,ISUZU,215244
77,77, HONDA HR-V 1.8 E Limited,689000.0,2019,HONDA,74000
78,78, ISUZU D-MAX 2.5 Hi-Lander Z-Prestige,575000.0,2015,ISUZU,115236
79,79, ISUZU D-MAX 1.9 Hi-Lander Z,595000.0,2019,ISUZU,35171
80,80, TOYOTA HILUX VIGO 2.5 E Prerunner,399000.0,2012,TOYOTA,110000
81,81, MAZDA 2 1.5 Elegance Groove,219000.0,2012,MAZDA,194451
82,82, SUZUKI CELERIO 1.0 GL,229000.0,2016,SUZUKI,137521
83,83, MAZDA 2 1.3 High Connect,379000.0,2017,MAZDA,124000
84,84, TOYOTA VIOS 1.5 ES,259000.0,2010,TOYOTA,147307
85,85, MG GS 1.5 X,439000.0,2019,MG,113075
86,86, FORD RANGER 2.2 Hi-Rider WildTrak,469000.0,2013,FORD,258863
87,87, FORD FOCUS 2.0 Sport,269000.0,2013,FORD,123275
88,88, MITSUBISHI TRITON 2.5 GLX,459000.0,2020,MITSUBISHI,33224
89,89, MAZDA BT-50 PRO 2.2 Hi-Racer,399000.0,2016,MAZDA,123000
90,90, MITSUBISHI TRITON 2.4 GLX,389000.0,2017,MITSUBISHI,92862
91,91, MITSUBISHI TRITON 2.4 GLX,209000.0,2011,MITSUBISHI,284438
92,92, ISUZU D-MAX 1.9 S,539000.0,2019,ISUZU,70825
93,93, TOYOTA HILUX VIGO CHAMP,459000.0,2015,TOYOTA,150610
94,94, NISSAN NP 300 NAVARA 2.5 Calibre E,469000.0,2018,NISSAN,50000
95,95, HONDA BRIO 1.2 V,369000.0,2017,HONDA,86894
96,96, HONDA CITY S,519000.0,2021,HONDA,1300
97,97, FORD RANGER 2.2 OPEN CAB Hi-Rider XL+,469000.0,2015,FORD,132000
98,98, TOYOTA HILUX VIGO CHAMP,449000.0,2013,TOYOTA,127500
99,99, NISSAN MARCH 1.2 E,269000.0,2020,NISSAN,14000
100,100, TOYOTA HILUX REVO,489000.0,2015,TOYOTA,128989
101,101, MAZDA 3 1.6 Spirit Sports,279000.0,2012,MAZDA,164000
102,102, HONDA JAZZ 1.5 S,449000.0,2015,HONDA,95000
103,103, MERCEDES BENZ C250 CGI AMG,639000.0,2013,MERCEDES,138000
104,104, MG 3 1.5 X,199000.0,2017,MG,65000
105,105, MERCEDES BENZ VITO 115,449000.0,2005,MERCEDES,144000
106,106, MERCEDES BENZ E250 CGI Avantgarde,619000.0,2011,MERCEDES,135000
107,107, BMW 318I Highline,559000.0,2010,BMW,140000
108,108, MG ZS 1.5 X,389000.0,2018,MG,49000
109,109, MERCEDES BENZ C 180 CGI Blue EFFICIENCY,729000.0,2013,MERCEDES,123000
110,110, TOYOTA HILUX,559000.0,2001,TOYOTA,181000
111,111, MERCEDES BENZ E300 BlueTEC HYBRID,1099000.0,2013,MERCEDES,87000
112,112, HONDA ACCORD 2.0 EL i-VTEC,549000.0,2014,HONDA,89000
113,113, BMW 520I SE,299000.0,2004,BMW,170000
114,114, VOLVO V50 2.0,299000.0,2013,VOLVO,150000
115,115, FORD EVEREST 2.0 Titanium+ 4WD,1059000.0,2018,FORD,104000
116,116, MERCEDES BENZ SLK200 KOMPRESSOR 2LOOK EDITION,1029000.0,2010,MERCEDES,105000
117,117, MERCEDES BENZ E200 CGI,1099000.0,2013,MERCEDES,93000
118,118, MERCEDES BENZ E250 CGI AMG Avantgarde,729000.0,2011,MERCEDES,125000
